,Book 0,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10
0,23004,0,0,0,0,0,0,0,0,0,0
1,42812,0,0,0,0,0,0,0,0,0,0
2,14210,776,0,0,0,0,0,0,0,0,0
3,11569,5004,234221,0,0,0,0,0,0,0,0
4,41029,3188,113328,328288,0,0,0,0,0,0,0
5,43083,2971,151698,64631,0,0,0,0,0,0,0
6,5636,4284,0,0,0,0,0,0,0,0,0
7,0,5020,0,0,0,0,0,0,0,0,0
8,0,1943,0,0,20774,0,0,0,0,0,0
9,0,3776,0,0,23654,0,0,0,0,0,0
10,0,486,0,0,169457,19949,12306,4822,0,0,0
11,0,4173,0,0,88076,0,23914,4354,0,0,0
12,0,2916,0,0,34940,81302,11457,1509,0,0,0
13,0,4590,0,0,0,36776,6518,3185,0,0,0
14,0,3044,0,0,0,83006,10708,0,250132,0,0
15,0,2390,0,0,0,0,12071,5718,170366,0,0
16,0,238,0,0,0,0,5236,5858,97300,317848,0
17,0,4976,0,0,0,0,4509,6991,0,152887,0
18,0,4659,0,0,0,0,10823,938,0,124127,0
19,0,5330,0,0,0,0,1116,7878,0,164260,14439
20,0,0,0,0,0,0,0,6872,0,172809,9296
21,0,2192,0,0,0,0,0,824,0,138665,4957
22,0,722,0,0,0,0,0,0,0,0,40230
23,0,1092,0,0,0,0,0,0,0,0,25059
24,0,3158,0,0,0,0,0,0,0,200280,82217
25,0,3622,0,0,0,0,0,0,0,136416,0
26,0,3761,0,0,0,0,0,0,0,192379,0
27,0,3751,0,0,0,0,0,0,0,36898,0
28,0,7389,0,0,0,0,0,0,0,104145,0
29,0,3779,0,0,0,0,0,0,0,205288,0
30,0,5786,0,0,0,0,0,0,0,0,0
31,0,3848,0,0,0,0,0,0,0,0,0
32,0,1561,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,3562,0,0,0,0,0,0,0,0,0
35,0,4700,0,0,0,0,0,0,0,0,0
36,0,6160,0,0,0,0,0,0,0,0,0
37,0,3155,0,0,0,0,0,0,0,0,0
38,0,211,0,0,0,0,0,0,0,0,0
39,0,1942,0,0,0,0,0,0,0,0,0
40,0,4601,0,0,0,0,0,0,0,0,0
41,0,2402,0,0,0,0,0,0,0,0,0
42,0,7713,0,0,0,0,0,0,0,0,0
43,0,1100,0,0,0,0,0,0,0,0,0
44,0,4166,0,0,0,0,0,0,0,0,0
45,0,1531,0,0,0,0,0,0,0,0,0
46,0,178,0,0,0,0,0,0,0,0,0
47,0,506,0,0,0,0,0,0,0,0,0
48,0,1703,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0
50,0,4199,0,0,0,0,0,0,0,0,0
51,0,1673,0,0,0,0,0,0,0,0,0
52,0,3120,0,0,0,0,0,0,0,0,0
53,0,2874,0,0,0,0,0,0,0,0,0
54,0,4172,0,0,0,0,0,0,0,0,0
55,0,3935,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0
57,0,1557,0,0,0,0,0,0,0,0,0
58,0,1299,0,0,0,0,0,0,0,0,0
59,0,2225,0,0,0,0,0,0,0,0,0
60,0,128,0,0,0,0,0,0,0,0,0
61,0,2243,0,0,0,0,0,0,0,0,0
62,0,1494,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0
64,0,8003,0,0,0,0,0,0,0,0,0
65,0,539,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0
67,0,1663,0,0,0,0,0,0,0,0,0
68,0,325,0,0,0,0,0,0,0,0,0
69,0,2143,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0
72,0,4414,0,0,0,0,0,0,0,0,0
73,0,1244,0,0,0,0,0,0,0,0,0
74,0,1709,0,0,0,0,0,0,0,0,0
75,0,1389,0,0,0,0,0,0,0,0,0
76,0,3119,0,0,0,0,0,0,0,0,0
77,0,6257,0,0,0,0,0,0,0,0,0
78,0,1869,0,0,0,0,0,0,0,0,0
79,0,3724,0,0,0,0,0,0,0,0,0
80,0,2304,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0
82,0,3199,0,0,0,0,0,0,0,0,0
83,0,1763,0,0,0,0,0,0,0,0,0
84,0,2115,0,0,0,0,0,0,0,0,0
85,0,137,0,0,0,0,0,0,0,0,0
86,0,6939,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0
88,0,147,0,0,0,0,0,0,0,0,0
89,0,1505,0,0,0,0,0,0,0,0,0
90,0,484,0,0,0,0,0,0,0,0,0
91,0,974,0,0,0,0,0,0,0,0,0
92,0,6801,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0
94,0,5257,0,0,0,0,0,0,0,0,0
95,0,3302,0,0,0,0,0,0,0,0,0
96,0,2792,0,0,0,0,0,0,0,0,0
97,0,619,0,0,0,0,0,0,0,0,0
98,0,5026,0,0,0,0,0,0,0,0,0
99,0,4311,0,0,0,0,0,0,0,0,0
100,0,2894,0,0,0,0,0,0,0,0,0
101,0,4032,0,0,0,0,0,0,0,0,0
102,0,4735,0,0,0,0,0,0,0,0,0
103,0,1804,0,0,0,0,0,0,0,0,0
104,0,1477,0,0,0,0,0,0,0,0,0
105,0,1432,0,0,0,0,0,0,0,0,0
106,0,979,0,0,0,0,0,0,0,0,0
107,0,2649,0,0,0,0,0,0,0,0,0
108,0,6172,0,0,0,0,0,0,0,0,0
109,0,1168,0,0,0,0,0,0,0,0,0
110,0,1911,0,0,0,0,0,0,0,0,0
111,0,4564,0,0,0,0,0,0,0,0,0
112,0,1299,0,0,0,0,0,0,0,0,0
113,0,4390,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0
